Conta Origem	Conta Destino	Data	Hora	Montante	DataHora
51740-7	67554-0	13/11/2006	09:29	441,33	13/11/2006 09:29
32908-1	36966-3	13/11/2006	09:36	474,03	13/11/2006 09:36
22998-1	34089-1	13/11/2006	11:06	66,46	13/11/2006 11:06
32908-1	33061-1	14/11/2006	07:50	532,27	14/11/2006 07:50
43990-8	34098-8	14/11/2006	12:15	71,88	14/11/2006 12:15
22998-1	33008-3	14/11/2006	20:49	82,63	14/11/2006 20:49
32908-1	22998-1	15/11/2006	11:14	14500	15/11/2006 11:14
22998-1	34098-8	15/11/2006	11:31	14250	15/11/2006 11:31
34098-8	67554-0	15/11/2006	11:39	14100	15/11/2006 11:39
48902-0	67554-0	15/11/2006	12:54	50,71	15/11/2006 12:54
30021-8	34098-8	15/11/2006	08:39	512,37	15/11/2006 08:39
52869-7	67554-0	15/11/2006	21:02	5321,34	15/11/2006 21:02
33061-1	22998-1	15/11/2006	18:13	32,78	15/11/2006 18:13
33061-1	22998-1	15/11/2006	14:50	4504,02	15/11/2006 14:50
32908-1	22297-5	16/11/2006	13:57	62,09	16/11/2006 13:57
32908-1	22297-5	16/11/2006	13:08	553,68	16/11/2006 13:08
31985-9	22998-1	17/11/2006	09:23	902,68	17/11/2006 09:23
